DATETIME, Mount Head Flow
2019-06-04 11:26:40:91,-0.67
2019-06-04 11:26:40:93,-0.67
2019-06-04 11:26:41:04,-0.683
2019-06-04 11:26:41:07,-0.683
2019-06-04 11:26:41:09,-0.683
2019-06-04 11:26:41:12,-0.683
2019-06-04 11:26:41:13,-0.683
2019-06-04 11:26:41:16,-0.683
2019-06-04 11:26:41:18,-0.683
2019-06-04 11:26:41:20,-0.683
2019-06-04 11:26:41:21,-0.683
2019-06-04 11:26:41:24,-0.683
2019-06-04 11:26:41:26,-0.683
2019-06-04 11:26:41:27,-0.683
2019-06-04 11:26:41:29,-0.683
2019-06-04 11:26:41:32,-0.683
2019-06-04 11:26:41:34,-0.683
2019-06-04 11:26:41:35,-0.683
2019-06-04 11:26:41:37,-0.683
2019-06-04 11:26:41:38,-0.683
2019-06-04 11:26:41:40,-0.683
2019-06-04 11:26:41:43,-0.683
2019-06-04 11:26:41:44,-0.683
2019-06-04 11:26:41:46,-0.683
2019-06-04 11:26:41:48,-0.683
2019-06-04 11:26:41:49,-0.683
2019-06-04 11:26:41:51,-0.683
2019-06-04 11:26:41:54,-0.683
2019-06-04 11:26:41:55,-0.683
2019-06-04 11:26:41:59,-0.683
2019-06-04 11:26:41:60,-0.683
2019-06-04 11:26:41:62,-0.683
2019-06-04 11:26:41:65,-0.683
2019-06-04 11:26:41:66,-0.683
2019-06-04 11:26:41:68,-0.683
2019-06-04 11:26:41:69,-0.683
2019-06-04 11:26:41:71,-0.683
2019-06-04 11:26:41:73,-0.683
2019-06-04 11:26:41:76,-0.683
2019-06-04 11:26:41:77,-0.683
2019-06-04 11:26:41:79,-0.683
2019-06-04 11:26:41:80,-0.683
2019-06-04 11:26:41:82,-0.683
2019-06-04 11:26:41:83,-0.683
2019-06-04 11:26:41:87,-0.683
2019-06-04 11:26:41:88,-0.683
2019-06-04 11:26:41:93,-0.683
2019-06-04 11:26:41:94,-0.683
2019-06-04 11:26:41:98,-0.683
2019-06-04 11:26:41:99,-0.683
2019-06-04 11:26:42:16,-0.683
2019-06-04 11:26:42:19,-0.683
2019-06-04 11:26:42:21,-0.683
2019-06-04 11:26:42:24,-0.683
2019-06-04 11:26:42:26,-0.683
2019-06-04 11:26:42:27,-0.683
2019-06-04 11:26:42:30,-0.683
2019-06-04 11:26:42:32,-0.683
2019-06-04 11:26:42:33,-0.683
2019-06-04 11:26:42:35,-0.683
2019-06-04 11:26:42:37,-0.683
2019-06-04 11:26:42:38,-0.683
2019-06-04 11:26:42:41,-0.683
2019-06-04 11:26:42:43,-0.683
2019-06-04 11:26:42:44,-0.683
2019-06-04 11:26:42:46,-0.683
2019-06-04 11:26:42:47,-0.683
2019-06-04 11:26:42:49,-0.683
2019-06-04 11:26:42:52,-0.683
2019-06-04 11:26:42:55,-0.683
2019-06-04 11:26:42:57,-0.683
2019-06-04 11:26:42:58,-0.683
2019-06-04 11:26:42:60,-0.683
2019-06-04 11:26:42:63,-0.683
2019-06-04 11:26:42:65,-0.683
2019-06-04 11:26:42:66,-0.683
2019-06-04 11:26:42:68,-0.683
2019-06-04 11:26:42:69,-0.683
2019-06-04 11:26:42:71,-0.683
2019-06-04 11:26:42:74,-0.683
2019-06-04 11:26:42:76,-0.683
2019-06-04 11:26:42:77,-0.683
2019-06-04 11:26:42:79,-0.683
2019-06-04 11:26:42:80,-0.683
2019-06-04 11:26:42:82,-0.683
2019-06-04 11:26:42:85,-0.683
2019-06-04 11:26:42:88,-0.683
2019-06-04 11:26:42:91,-0.683
2019-06-04 11:26:42:93,-0.683
2019-06-04 11:26:42:96,-0.683
2019-06-04 11:26:42:99,-0.683
2019-06-04 11:26:43:10,-0.687
2019-06-04 11:26:43:13,-0.687
